timestamp, x1, x2, x3, closestValue, bestX, usedXrad,timestampsec
1.64873422919189E+018,0.4033712769,0.5796344757,1.1960115814,0.4033712769,0.4033712769,0.537936932897544,0
1.64873422926214E+018,0.3971443939,1.6126407623,1.3798725891,0.3971443939,0.3971443939,0.54251656562236,0.070244864
1.64873422943468E+018,0.400650177,1.6022725677,1.3612684631,0.400650177,0.400650177,0.539941291812847,0.242787328
1.64873422960698E+018,0.4035826874,0.5353031158,1.6022907257,0.4035826874,0.4035826874,0.537781007017559,0.41508352
1.64873422977936E+018,0.3042521667,0.4089315033,1.6043192291,0.3042521667,0.3042521667,0.607866456682682,0.58747136
1.64873422995283E+018,0.4071740723,0.4014543152,1.6104981232,0.4014543152,0.4014543152,0.539349464721815,0.760938496
1.64873423012515E+018,0.406839447,0.4014543152,1.6071116638,0.4014543152,0.4014543152,0.539349464721815,0.933261568
1.64873423029613E+018,0.4073543549,0.4014543152,1.6096576691,0.4014543152,0.4014543152,0.539349464721815,1.104239616
1.64873423046763E+018,0.3952339172,1.273660202,1.600373764,0.3952339172,0.3952339172,0.543916605325958,1.275735808
1.64873423063897E+018,0.3914168549,1.6010157776,1.0716567993,0.3914168549,0.3914168549,0.546706745418817,1.447081728
1.64873423081087E+018,0.3940380859,0.3940380859,1.6009146118,0.3940380859,0.3940380859,0.544791732612951,1.618978048
1.64873423098371E+018,0.3981236267,0.3981236267,1.6025241852,0.3981236267,0.3981236267,0.541798044471519,1.791821568
1.64873423115607E+018,0.3861108398,1.6001039886,1.3609442139,0.3861108398,0.3861108398,0.550569572065233,1.964181248
1.64873423132858E+018,0.3989433289,1.3689129639,1.0646205902,0.3989433289,0.3989433289,0.541196102123474,2.13668864
1.64873423149982E+018,0.4029458618,1.2720039368,1.2720039368,0.4029458618,0.4029458618,0.538250610026941,2.307922944
1.64873423163759E+018,0.4020548248,0.4014530182,0.5353031158,0.4014530182,0.4014530182,0.539350419621601,2.445694208
1.64873423180962E+018,0.4086513519,1.3627898407,1.6014139557,0.4086513519,0.4086513519,0.53403392628502,2.617731328
1.6487342319822E+018,0.4040171814,0.4014530182,1.5978031158,0.4014530182,0.4014530182,0.539350419621601,2.790305024
1.64873423215447E+018,0.4038356018,0.5353031158,1.3670504761,0.4038356018,0.4038356018,0.537594431815738,2.9625728
1.64873423232657E+018,0.4029367828,1.3677754974,0.4029367828,0.4029367828,0.4029367828,0.538257303090061,3.134677248
1.64873423249848E+018,0.4055567169,1.3624059296,0.5353018188,0.4055567169,0.4055567169,0.536323660947981,3.306582528
1.64873423266899E+018,0.4064814758,0.4014543152,1.6000222778,0.4014543152,0.4014543152,0.539349464721815,3.477096192
1.64873423284063E+018,0.3059667969,0.3059667969,0.413054657,0.3059667969,0.3059667969,0.606710167182751,3.648740608
1.6487342330127E+018,0.4078731537,0.4078731537,0.7290381622,0.4078731537,0.4078731537,0.534610303834433,3.820804864
1.64873423318395E+018,0.4101701355,0.4101701355,0.7377371216,0.4101701355,0.4101701355,0.532907896863654,3.992055808
1.64873423335588E+018,0.4099768829,0.7329226685,0.98457901,0.4099768829,0.4099768829,0.533051257915876,4.163986944
1.64873423352732E+018,0.4101571655,0.241292038,1.6034178162,0.241292038,0.241292038,0.649050949908027,4.335427328
1.64873423370024E+018,0.3406640625,0.4016436768,1.5363306427,0.3406640625,0.3406640625,0.582910297848307,4.508343552
1.64873423387259E+018,0.517101059,1.0710173798,1.4175088501,0.517101059,0.517101059,0.449873405642378,4.680699392
1.64873423404819E+018,0.3406640625,1.5402255249,0.9352425385,0.3406640625,0.3406640625,0.582910297848307,4.856301568
1.64873423422198E+018,0.3701940918,0.3043235016,1.8608665466,0.3043235016,0.3043235016,0.607818387842457,5.030089216
1.64873423436123E+018,0.4354602814,0.4379842377,0.9524121857,0.4354602814,0.4354602814,0.513937569612202,5.169340416
1.64873423453281E+018,0.4594560242,1.8857260895,1.5748631287,0.4594560242,0.4594560242,0.495554331972794,5.340916224
1.64873423470399E+018,0.3922715759,0.5353031158,1.7017224121,0.3922715759,0.3922715759,0.546082794734288,5.512094208
1.64873423487615E+018,0.4000107574,0.4016436768,1.6001506805,0.4000107574,0.4000107574,0.540411590380103,5.684253696
1.64873423504783E+018,0.3937540436,0.4016436768,0.806171875,0.3937540436,0.3937540436,0.544999462756242,5.855936768
