rospy.get_time,x1,x2,x3,closestValue,bestX,msg.x,msg.y,msg.z,msg.range,msg.velocity,msg.bearing,msg.intensity
1648226728.811115,0.7901319122,2.0976774597,1.3842745972,0.7901319122,0.7901319122,0.7776735424995422,0.17433840036392212,0.0,0.7969755530357361,0.9386264085769653,12.635625839233398,26.700000762939453
1648226728.8444712,0.7280926514,2.0960186005,1.3688286591,0.7280926514,0.7280926514,0.7776735424995422,0.17433840036392212,0.0,0.7969755530357361,0.9386264085769653,12.635625839233398,26.700000762939453
1648226728.9109578,0.8203052521,2.0972105408,2.5984026337,0.8203052521,0.8203052521,0.03963707759976387,0.08497165888547897,0.0,0.09376183152198792,0.0,64.9921646118164,46.5
1648226728.9447536,0.9580515289,2.0954258728,2.5994739532,0.9580515289,0.9580515289,0.8547824025154114,0.25051990151405334,0.0,0.8907374143600464,1.2068053483963013,16.334821701049805,27.899999618530273
1648226729.0111794,2.095778656,0.9259339905,2.5976464844,0.9259339905,0.9259339905,1.5490105152130127,0.9713139533996582,0.0,1.8283556699752808,-1.8772528171539307,32.08995056152344,31.100000381469727
1648226729.04941,2.0955802155,1.0575636292,2.5983870697,1.0575636292,1.0575636292,0.03963707759976387,0.08497165888547897,0.0,0.09376183152198792,0.0,64.9921646118164,30.100000381469727
1648226729.115505,2.0959109497,1.0195927429,2.5980148315,1.0195927429,1.0195927429,1.0894140005111694,0.28128549456596375,0.0,1.125141978263855,1.0727158784866333,14.477511405944824,24.600000381469727
1648226729.1465018,1.1458839417,2.0995879364,2.5981017303,1.1458839417,1.1458839417,1.0894140005111694,0.28128549456596375,0.0,1.125141978263855,1.0727158784866333,14.477511405944824,24.600000381469727
1648226729.2126012,2.0963571167,1.0917576599,2.5981678772,1.0917576599,1.0917576599,0.03963707759976387,0.08497165888547897,0.0,0.09376183152198792,0.0,64.9921646118164,35.5
1648226729.2446854,2.0968953705,1.2012294006,2.5985440063,1.2012294006,1.2012294006,1.1801985502243042,0.3047259449958801,0.0,1.21890389919281,0.6704474091529846,14.477511405944824,61.20000076293945
1648226729.3113542,2.0960095215,2.5986477661,1.2250448608,1.2250448608,1.2250448608,1.1893830299377441,0.2666352093219757,0.0,1.2189037799835205,0.5363579392433167,12.635625839233398,41.70000076293945
1648226729.3446047,2.0963298798,2.5975829315,1.1549343872,1.1549343872,1.1549343872,0.8800604343414307,-0.9097827672958374,0.0,1.265784740447998,0.0,-45.95137023925781,29.700000762939453
1648226729.4120057,2.0965581512,1.1721079254,2.597803421,1.1721079254,1.1721079254,1.7959290742874146,0.34281668066978455,0.0,1.8283556699752808,1.4749842882156372,10.806922912597656,23.600000381469727
1648226729.4446218,2.0969148254,2.5977645111,1.1782946014,1.1782946014,1.1782946014,1.7959290742874146,0.34281668066978455,0.0,1.8283556699752808,1.4749842882156372,10.806922912597656,23.600000381469727
1648226729.5127087,2.095790329,1.1838509369,2.596505127,1.1838509369,1.1838509369,0.03963707759976387,0.08497165888547897,0.0,0.09376183152198792,0.0,64.9921646118164,26.600000381469727
1648226729.544668,2.0955231476,1.1863813782,2.5986218262,1.1863813782,1.1863813782,2.156522035598755,-0.0,0.0,2.156522035598755,-0.4022684693336487,-0.0,39.099998474121094
1648226729.6111042,2.0970276642,1.182905426,2.4176842499,1.182905426,1.182905426,1.3068416118621826,0.6358224153518677,0.0,1.453308343887329,0.8045369386672974,25.944480895996094,29.0
1648226729.6442952,2.0952196503,2.5952548218,1.1764826965,1.1764826965,1.1764826965,1.3595465421676636,-0.0,0.0,1.3595465421676636,-0.4022684693336487,-0.0,29.700000762939453
1648226729.7113116,2.0945607758,1.1763776398,2.5951134491,1.1763776398,1.1763776398,0.569786787033081,-2.2253785133361816,0.0,2.2971649169921875,-1.2068053483963013,-75.63848876953125,25.899999618530273
1648226729.74531,1.1662052917,2.096227417,2.5979006958,1.1662052917,1.1662052917,0.569786787033081,-2.2253785133361816,0.0,2.2971649169921875,-1.2068053483963013,-75.63848876953125,25.899999618530273
1648226729.816124,1.1521134186,2.0919499207,2.5997074127,1.1521134186,1.1521134186,1.2602099180221558,-0.11866731941699982,0.0,1.265784740447998,-0.4022684693336487,-5.379378795623779,28.700000762939453
1648226729.8510773,1.216566391,2.0966424561,2.5992443848,1.216566391,1.216566391,1.2039326429367065,-0.19045370817184448,0.0,1.2189037799835205,-0.5363579392433167,-8.989298820495605,55.599998474121094
