rospy.Time, x1, x2, x3, closestValue, bestX, usedXrad,dummy
1.64624144476454E+018,0.8117424774,1.0056292725,0.7513789368,1.0056292725,1.0056292725,-0.005629213039671,1
1.64624144480144E+018,0.8125245667,0.8125245667,0.8927334595,0.8927334595,0.8927334595,0.106857950683336,1
1.64624144483646E+018,0.857088089,0.8232221985,1.0153126526,1.0153126526,1.0153126526,-0.015311455945052,1
1.6462414449058E+018,0.8626548004,0.8467964172,1.155016098,0.8626548004,0.8626548004,0.136491231307357,1
1.64624144494003E+018,0.8269056702,0.9110107422,0.7578859711,0.9110107422,0.9110107422,0.088755463075303,1
1.64624144500794E+018,0.9209781647,0.8626703644,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,1
1.64624144504207E+018,0.9243490601,0.8616613007,0.8616613007,0.9243490601,0.9243490601,0.075507115041219,1
1.64624144510975E+018,0.9257653809,0.8624459839,0.9257653809,0.9257653809,0.9257653809,0.074098704695707,1
1.64624144514456E+018,0.9258743286,0.8656586456,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,1
1.64624144521222E+018,0.9297640228,0.9297640228,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,1
1.64624144524646E+018,0.9317289734,0.9317289734,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,1
1.64624144531727E+018,0.9302037048,0.8733900452,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,1
1.64624144535288E+018,0.9287160492,0.8711825562,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,1
1.64624144538898E+018,1.0203968811,0.8760735321,1.0205356598,1.0203968811,1.0203968811,-0.020394053215625,1
1.64624144545806E+018,1.0273254395,1.0203618622,0.8814755249,1.0203618622,1.0203618622,-0.020359048853598,1
1.64624144549278E+018,1.0401553345,0.9462449646,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,1
1.64624144556055E+018,0.9603835297,0.9603835297,0.7526409149,0.9603835297,0.9603835297,0.039595764244151,1
1.64624144560151E+018,0.9620527649,0.976166687,1.1092736053,0.976166687,0.976166687,0.023828801883788,1
1.64624144563953E+018,0.9653328705,0.976166687,1.3842032623,0.976166687,0.976166687,0.023828801883788,1
1.64624144571124E+018,0.9707309723,0.976166687,0.7985169983,0.976166687,0.976166687,0.023828801883788,1
1.64624144574736E+018,0.9709333038,0.976166687,0.9709333038,0.976166687,0.976166687,0.023828801883788,1
1.64624144581746E+018,0.9538661194,0.97616539,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,1
1.64624144585385E+018,1.0484068298,0.9503136444,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,1
1.64624144588906E+018,1.0292385101,1.0203631592,1.2592518616,1.0203631592,1.0203631592,-0.020360345316043,1
1.64624144595809E+018,1.0404199219,0.9476988983,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,1
1.64624144599422E+018,0.950037384,0.950037384,1.2828001404,0.950037384,0.950037384,0.049921104879363,1
1.64624144606359E+018,0.9532137299,0.9532137299,1.0969534302,0.9532137299,0.9532137299,0.046752177184482,1
1.64624144609927E+018,0.9558712769,1.276312561,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,1
1.64624144613448E+018,0.9560658264,0.9799046326,0.4801119995,0.9799046326,0.9799046326,0.020092663059401,1
1.64624144620273E+018,1.0372954559,0.9799046326,0.4971973419,0.9799046326,0.9799046326,0.020092663059401,1
1.64624144623747E+018,0.9644989014,0.976166687,0.9644989014,0.976166687,0.976166687,0.023828801883788,1
1.64624144631027E+018,1.0398751831,0.9663782501,1.1950621796,0.9663782501,0.9663782501,0.033609089563141,1
1.64624144634915E+018,0.965532608,0.976166687,0.965532608,0.976166687,0.976166687,0.023828801883788,1
1.64624144639013E+018,0.9575145721,0.97616539,1.1795436096,0.97616539,0.97616539,0.023830098147435,1
1.6462414464588E+018,0.9472345734,1.165222168,2.7125513458,0.9472345734,0.9472345734,0.052716538580188,1
1.64624144649355E+018,1.0445443726,0.8284983826,0.5976160431,1.0445443726,1.0445443726,-0.044514945960266,1
1.64624144656273E+018,0.9699475861,1.0580162811,1.2388371277,0.9699475861,0.9699475861,0.030043371544469,1
1.64624144659829E+018,0.9649437714,0.976166687,0.7553244019,0.976166687,0.976166687,0.023828801883788,1
1.64624144663628E+018,0.9667504883,0.976166687,1.1615568542,0.976166687,0.976166687,0.023828801883788,1
1.64624144670595E+018,1.048330307,1.048330307,1.1828652191,1.048330307,1.048330307,-0.048292729374397,1
1.64624144674147E+018,0.9614081573,0.976166687,1.1622494507,0.976166687,0.976166687,0.023828801883788,1
1.64624144680982E+018,0.9632291412,0.976166687,0.9632291412,0.976166687,0.976166687,0.023828801883788,1
1.6462414468444E+018,1.0515974426,0.9799046326,0.8872549438,0.9799046326,0.9799046326,0.020092663059401,1
1.64624144691251E+018,1.0553470612,0.8365721893,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,1
1.64624144694706E+018,1.0611381531,1.0611381531,0.6059855652,1.0611381531,1.0611381531,-0.061062147919822,1
1.64624144701526E+018,0.9034531403,0.9034531403,2.4871760559,0.9034531403,0.9034531403,0.096248545712053,1
1.64624144704995E+018,0.9821795654,0.837140274,1.2884550476,0.9821795654,0.9821795654,0.017818548560087,1
1.64624144708478E+018,1.0615700531,0.838057251,1.2892955017,1.0615700531,1.0615700531,-0.06149242819801,1
1.64624144715287E+018,0.9010511017,0.9010511017,0.8872575378,0.9010511017,0.9010511017,0.098627849798681,1
1.64624144718704E+018,0.9749526978,1.1148675537,1.0686425781,0.9749526978,0.9749526978,0.025042066217608,1
