time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/01/11/19:03:36.041831,9515,1641924216,41248497,imu_iphone,-0.0466747426891,-0.0306793168184,-0.535864245566,0.842454603073,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.983894050121,0.38952177763,1.95421111584,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.154794509411,-1.1662195605,-1.30467344105,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:03:36.071202,9516,1641924216,70531550,imu_iphone,-0.0317964192711,-0.0242750104657,-0.509864874674,0.859323874428,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",1.02164900303,0.32394105196,2.03893971443,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0814219115116,-0.759685167968,-1.38009316742,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:03:36.101028,9517,1641924216,100555314,imu_iphone,-0.0184726014826,-0.0154554622575,-0.482553543264,0.875535247471,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",1.03939294815,0.258573621511,2.12225580215,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.262354516424,-0.331413824335,-1.35768195927,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:03:36.130921,9518,1641924216,130412634,imu_iphone,-0.00730717560695,-0.00452206741943,-0.453870366054,0.891026288562,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",1.0430804491,0.181821450591,2.19823384285,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.392427546233,0.0793606126774,-1.36945357382,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:03:36.160574,9519,1641924216,160093393,imu_iphone,0.00121728562429,0.00816836626195,-0.423808880519,0.90571398841,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",1.02946901321,0.0991656407714,2.27152609825,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.428822662979,0.488780925907,-1.31560481071,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:03:36.189725,9520,1641924216,189256847,imu_iphone,0.00672033025874,0.0220960534779,-0.392251483116,0.919568037491,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",1.00639092922,0.0208712331951,2.33628940582,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.411789614148,0.866808643788,-1.28371760488,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:03:36.225138,9521,1641924216,219841091,imu_iphone,0.00893341415763,0.0367009875063,-0.359208018317,0.932492804907,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.971697986126,-0.0537443831563,2.38353514671,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.343074195608,1.18498583369,-1.22819712281,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:03:36.249612,9522,1641924216,249040762,imu_iphone,0.0077595108511,0.0514196438082,-0.324850634629,0.944334620462,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.930330574512,-0.126384288073,2.41058754921,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.223343739118,1.49477650836,-1.19188766778,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:03:36.279345,9523,1641924216,279118571,imu_iphone,0.00326168608174,0.0656235240306,-0.289359575735,0.954962800547,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.882468819618,-0.192458182573,2.41749048233,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0835809410736,1.75071863919,-1.11725380719,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:03:36.309399,9524,1641924216,309081674,imu_iphone,-0.00436617357699,0.0787203780574,-0.253104521512,0.964221001533,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.82883733511,-0.252288579941,2.39233565331,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.118305946849,1.98277986422,-1.05571537077,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
