time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/01/11/19:04:49.690216,11883,1641924289,689682001,imu_iphone,-0.114097641111,-0.0710643795619,-0.521778324909,0.842424454717,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.776366233826,-0.160483628511,-2.19118213654,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",1.05191204935,-2.91803250611,-0.966728934646,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.719881,11884,1641924289,719514144,imu_iphone,-0.128933606304,-0.0669421417029,-0.55037342524,0.822182441809,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.704875648022,-0.177737116814,-2.01268172264,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",1.36507590964,-3.20275653273,-0.848928004503,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.749890,11885,1641924289,749427233,imu_iphone,-0.142428152542,-0.0612034480189,-0.5760371039,0.802589318546,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.615982055664,-0.17251560092,-1.82509791851,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",1.71842753693,-3.4500373292,-0.741389522552,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.779467,11886,1641924289,779124227,imu_iphone,-0.154010938922,-0.054426524641,-0.598605430719,0.784212931812,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.51720058918,-0.148908942938,-1.62309277058,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",2.02292363092,-3.64255222678,-0.610611866713,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.809240,11887,1641924289,808921892,imu_iphone,-0.163368428521,-0.0473001758178,-0.617966032226,0.767588062013,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.414586931467,-0.108647987247,-1.40490841866,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",2.2725981313,-3.7915199858,-0.47817477107,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.839123,11888,1641924289,838658109,imu_iphone,-0.170316429632,-0.0404968617691,-0.634032067447,0.753230147719,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.307262480259,-0.0515663325787,-1.17514562607,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",2.46124918878,-3.87575614393,-0.380815706849,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.868716,11889,1641924289,868332871,imu_iphone,-0.174819901112,-0.0345819478991,-0.646797078651,0.741549479201,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.197432026267,0.0111394468695,-0.935920000076,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",2.5748114723,-3.91195684075,-0.307247208953,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.898525,11890,1641924289,898213236,imu_iphone,-0.176973138401,-0.0299680295989,-0.656332442725,0.732809763932,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0914431810379,0.0761762335896,-0.694166004658,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",2.59266302168,-3.89877604723,-0.291417042017,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.928455,11891,1641924289,928037458,imu_iphone,-0.17687950522,-0.0268914305039,-0.66276382981,0.727141387554,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0143895111978,0.143863141537,-0.452283918858,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",2.53826491266,-3.84452294916,-0.297513933778,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.959481,11892,1641924289,957847115,imu_iphone,-0.174750910384,-0.0253985926122,-0.666207575757,0.724558139018,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.108986847103,0.202700957656,-0.208668321371,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",2.45356770158,-3.7472387293,-0.338478357196,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:49.988326,11893,1641924289,987571938,imu_iphone,-0.170724928786,-0.0254861337498,-0.666722530477,0.725041049205,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.203258931637,0.258427619934,0.0266931355,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",2.30060030088,-3.62417910576,-0.385372442007,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:04:50.018600,11894,1641924290,18169009,imu_iphone,-0.164984298904,-0.0269149722734,-0.664473630039,0.728375288135,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.295256435871,0.304287403822,0.25016823411,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",2.14112568006,-3.48680228233,-0.45291421473,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
