time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/02/24/13:33:24.191560,2179,1645706004,187610149,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.44, 0.0042999734979606505, 0.0,0.0,",
2022/02/24/13:33:24.236197,2180,1645706004,232383489,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0005, -0.0004999999583332845, 0.0,0.0,",
2022/02/24/13:33:24.319200,2181,1645706004,313169717,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0022, -0.0021999964506769537, 0.0,0.0,",
2022/02/24/13:33:24.366279,2182,1645706004,360466241,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4383, -0.0021999964506769537, 0.0,0.0,",
2022/02/24/13:33:24.412315,2183,1645706004,407995223,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0041, -0.004099977026565035, 0.0,0.0,",
2022/02/24/13:33:24.462132,2184,1645706004,453032493,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.014, -0.013999085440883088, 0.0,0.0,",
2022/02/24/13:33:24.508491,2185,1645706004,502321720,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0056, -0.005599941462434822, 0.0,0.0,",
2022/02/24/13:33:24.558202,2186,1645706004,551006317,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0084, -0.00839980244036378, 0.0,0.0,",
2022/02/24/13:33:24.600506,2187,1645706004,596213579,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.015, -0.014998875151850498, 0.0,0.0,",
2022/02/24/13:33:24.648716,2188,1645706004,644340753,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0176, -0.01759818307900711, 0.0,0.0,",
2022/02/24/13:33:24.696473,2189,1645706004,689350128,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0155, -0.015498758887234896, 0.0,0.0,",
2022/02/24/13:33:24.740158,2190,1645706004,737025499,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0099, -0.00989967658601849, 0.0,0.0,",
2022/02/24/13:33:24.814539,2191,1645706004,813056945,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.006, -0.005999928001555166, 0.0,0.0,",
2022/02/24/13:33:24.856063,2192,1645706004,853484869,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.7807, -0.005999928001555166, 0.0,0.0,",
2022/02/24/13:33:24.895140,2193,1645706004,892123699,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0037, -0.00369998311580539, 0.0,0.0,",
2022/02/24/13:33:24.933027,2194,1645706004,931106567,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4409, -0.00369998311580539, 0.0,0.0,",
2022/02/24/13:33:25.012641,2195,1645706005,8713483,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0027, -0.0026999934390286224, 0.0,0.0,",
