rospy.Time, x1, x2, x3, closestValue, bestX, usedXrad,dummy
1.64624144476454E+018,0.8117424774,1.0056292725,0.7513789368,1.0056292725,1.0056292725,-0.005629213039671,0
1.64624144480144E+018,0.8125245667,0.8125245667,0.8927334595,0.8927334595,0.8927334595,0.106857950683336,0
1.64624144483646E+018,0.857088089,0.8232221985,1.0153126526,1.0153126526,1.0153126526,-0.015311455945052,0
1.6462414449058E+018,0.8626548004,0.8467964172,1.155016098,0.8626548004,0.8626548004,0.136491231307357,0
1.64624144494003E+018,0.8269056702,0.9110107422,0.7578859711,0.9110107422,0.9110107422,0.088755463075303,0
1.64624144500794E+018,0.9209781647,0.8626703644,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,0
1.64624144504207E+018,0.9243490601,0.8616613007,0.8616613007,0.9243490601,0.9243490601,0.075507115041219,0
1.64624144510975E+018,0.9257653809,0.8624459839,0.9257653809,0.9257653809,0.9257653809,0.074098704695707,0
1.64624144514456E+018,0.9258743286,0.8656586456,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,0
1.64624144521222E+018,0.9297640228,0.9297640228,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,0
1.64624144524646E+018,0.9317289734,0.9317289734,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,0
1.64624144531727E+018,0.9302037048,0.8733900452,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,0
1.64624144535288E+018,0.9287160492,0.8711825562,1.0205356598,1.0205356598,1.0205356598,-0.020532773809754,0
1.64624144538898E+018,1.0203968811,0.8760735321,1.0205356598,1.0203968811,1.0203968811,-0.020394053215625,0
1.64624144545806E+018,1.0273254395,1.0203618622,0.8814755249,1.0203618622,1.0203618622,-0.020359048853598,0
1.64624144549278E+018,1.0401553345,0.9462449646,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,0
1.64624144556055E+018,0.9603835297,0.9603835297,0.7526409149,0.9603835297,0.9603835297,0.039595764244151,0
1.64624144560151E+018,0.9620527649,0.976166687,1.1092736053,0.976166687,0.976166687,0.023828801883788,0
1.64624144563953E+018,0.9653328705,0.976166687,1.3842032623,0.976166687,0.976166687,0.023828801883788,0
1.64624144571124E+018,0.9707309723,0.976166687,0.7985169983,0.976166687,0.976166687,0.023828801883788,0
1.64624144574736E+018,0.9709333038,0.976166687,0.9709333038,0.976166687,0.976166687,0.023828801883788,0
1.64624144581746E+018,0.9538661194,0.97616539,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,0
1.64624144585385E+018,1.0484068298,0.9503136444,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,0
1.64624144588906E+018,1.0292385101,1.0203631592,1.2592518616,1.0203631592,1.0203631592,-0.020360345316043,0
1.64624144595809E+018,1.0404199219,0.9476988983,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,0
1.64624144599422E+018,0.950037384,0.950037384,1.2828001404,0.950037384,0.950037384,0.049921104879363,0
1.64624144606359E+018,0.9532137299,0.9532137299,1.0969534302,0.9532137299,0.9532137299,0.046752177184482,0
1.64624144609927E+018,0.9558712769,1.276312561,0.9799046326,0.9799046326,0.9799046326,0.020092663059401,0
1.64624144613448E+018,0.9560658264,0.9799046326,0.4801119995,0.9799046326,0.9799046326,0.020092663059401,0
