rospy.get_time,x1,x2,x3,closestValue,bestX,msg.x,msg.y,msg.z,msg.range,msg.velocity,msg.bearing,msg.intensity
1646846747.6451738,3.1614342499,1.2883850098,0.9989134216,0.9989134216,0.9989134216,0.03262773156166077,0.08790171891450882,0.0,0.09376183152198792,0.0,69.63587188720703,31.200000762939453
1646846747.675356,3.1606288147,1.2870711517,2.1044996643,1.2870711517,1.2870711517,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,-0.2681789696216583,-1.7907847166061401,32.400001525878906
1646846747.776216,3.1655781555,1.2886145782,2.1029588318,1.2886145782,1.2886145782,0.9840183854103088,-0.030765600502490997,0.0,0.9844992160797119,-0.4022684693336487,-1.7907847166061401,60.5
1646846747.808967,3.1642461395,1.2879790497,2.1095333099,1.2879790497,1.2879790497,0.9840183854103088,-0.030765600502490997,0.0,0.9844992160797119,-0.5363579392433167,-1.7907847166061401,63.0
1646846747.879863,3.1651734924,1.2883901978,2.102434845,1.2883901978,1.2883901978,0.9844992160797119,-0.0,0.0,0.9844992160797119,-0.5363579392433167,-0.0,62.099998474121094
1646846747.9169707,3.1651008606,1.2882306671,2.103766861,1.2882306671,1.2882306671,0.03262773156166077,0.08790171891450882,0.0,0.09376183152198792,0.0,69.63587188720703,63.400001525878906
1646846747.975655,3.1662824249,1.2864421082,2.1106902313,1.2864421082,1.2864421082,0.8907374143600464,-0.0,0.0,0.8907374143600464,-0.5363579392433167,-0.0,23.700000762939453
1646846748.0091243,3.166252594,1.285613327,2.1043907166,1.285613327,1.285613327,0.8907374143600464,-0.0,0.0,0.8907374143600464,-0.5363579392433167,-0.0,65.30000305175781
1646846748.075476,3.1670372772,3.4074940491,2.1031715393,2.1031715393,1.285613327,0.843444287776947,0.026370514184236526,0.0,0.8438563942909241,-0.4022684693336487,1.7907847166061401,24.700000762939453
1646846748.1085358,3.1677182007,1.2848896027,3.4068935394,1.2848896027,1.2848896027,0.843444287776947,0.026370514184236526,0.0,0.8438563942909241,-0.4022684693336487,1.7907847166061401,24.700000762939453
1646846748.1753235,3.169330368,3.4091567993,1.2866742706,1.2866742706,1.2866742706,0.7969755530357361,-0.0,0.0,0.7969755530357361,-0.4022684693336487,-0.0,63.099998474121094
1646846748.2088602,3.1700346375,1.2865808868,3.4063111877,1.2865808868,1.2865808868,0.796586275100708,0.024905486032366753,0.0,0.7969754934310913,-0.2681789696216583,1.7907847166061401,63.79999923706055
1646846748.2755167,3.1717739105,1.2864784241,3.4072904205,1.2864784241,1.2864784241,0.9852738976478577,0.4380435347557068,0.0,1.0782610177993774,0.5363579392433167,23.969484329223633,38.79999923706055
1646846748.3092,3.1709503174,1.2868804932,3.4068520355,1.2868804932,1.2868804932,0.9209892749786377,0.17580343782901764,0.0,0.9376183152198792,0.4022684693336487,10.806922912597656,34.29999923706055
1646846748.3759367,3.1710437012,3.405739212,1.2879103088,1.2879103088,1.2879103088,0.7969755530357361,-0.0,0.0,0.7969755530357361,0.2681789696216583,-0.0,37.79999923706055
1646846748.4090507,3.1696714783,3.4088247681,1.2867507935,1.2867507935,1.2867507935,0.7969755530357361,-0.0,0.0,0.7969755530357361,0.2681789696216583,-0.0,37.79999923706055
1646846748.4752188,3.1676948547,1.2863305664,3.4074227142,1.2863305664,1.2863305664,0.9351933002471924,0.3076559901237488,0.0,0.9844992160797119,0.5363579392433167,18.2099552154541,63.400001525878906
1646846748.5085633,3.1667337799,1.2860076141,3.4087780762,1.2860076141,1.2860076141,1.7345938682556152,-0.0,0.0,1.7345938682556152,1.0727158784866333,-0.0,23.0
1646846748.5751975,3.1669646454,2.1073284149,3.409295578,2.1073284149,1.2860076141,1.8274627923965454,-0.057136114686727524,0.0,1.8283557891845703,1.3408948183059692,-1.7907847166061401,25.799999237060547
1646846748.6085806,3.1650399017,1.2876314545,2.0982649994,1.2876314545,1.2876314545,1.8283556699752808,-0.0,0.0,1.8283556699752808,1.7431633472442627,-0.0,29.100000381469727
1646846748.6899152,3.1631903839,1.2897183228,2.1035191345,1.2897183228,1.2897183228,1.8283556699752808,-0.0,0.0,1.8283556699752808,1.7431633472442627,-0.0,29.100000381469727
1646846748.709507,3.163170929,1.285164566,2.1047370148,1.285164566,1.285164566,0.03262773156166077,0.08790171891450882,0.0,0.09376183152198792,0.0,69.63587188720703,25.700000762939453
1646846748.7753458,3.1632007599,0.9804701233,1.2872371674,0.9804701233,0.9804701233,1.9689984321594238,-0.0,0.0,1.9689984321594238,1.6090738773345947,-0.0,26.600000381469727
1646846748.8087127,3.1647351074,1.287382431,2.1093893433,1.287382431,1.287382431,2.062760353088379,-0.0,0.0,2.062760353088379,1.3408948183059692,-0.0,26.5
1646846748.8754635,3.168916626,1.1140374756,1.2894005585,1.1140374756,1.1140374756,0.9744015336036682,0.5625709891319275,0.0,1.125141978263855,-0.4022684693336487,30.0,45.099998474121094
1646846748.9094172,3.1667675018,1.2861827087,2.1088562775,1.2861827087,1.2861827087,0.9744015336036682,0.5625709891319275,0.0,1.125141978263855,-0.4022684693336487,30.0,31.299999237060547
1646846748.975882,3.1645846558,1.2851165771,2.1057642365,1.2851165771,1.2851165771,1.3568886518478394,-0.08497165888547897,0.0,1.3595466613769531,0.6704474091529846,-3.5833218097686768,35.900001525878906
1646846749.0088444,3.1650476837,2.1064931488,1.285644455,1.285644455,1.285644455,1.3568886518478394,-0.08497165888547897,0.0,1.3595466613769531,0.6704474091529846,-3.5833218097686768,35.900001525878906
