rospy.get_time,x1,x2,x3,closestValue,bestX,msg.x,msg.y,msg.z,msg.range,msg.velocity,msg.bearing,msg.intensity
1646846402.2115514,3.160932312,2.1086993408,1.2880970764,1.2880970764,1.2880970764,0,0,0,0,0,0,0
1646846402.2452776,3.1612267303,1.2882008362,2.1084684753,1.2882008362,1.2882008362,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.100000381469727
1646846402.311415,3.1610633087,1.2881009674,2.1080430603,1.2881009674,1.2881009674,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.200000762939453
1646846402.3779194,3.1611009216,1.2880244446,2.1079691315,1.2880244446,1.2880244446,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.100000381469727
1646846402.4113352,3.1611229706,1.287840271,2.108174057,1.287840271,1.287840271,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.200000762939453
1646846402.4776669,3.160959549,1.2877053833,2.1083478546,1.2877053833,1.2877053833,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.200000762939453
1646846402.511043,3.1610723877,1.2877870941,2.1079535675,1.2877870941,1.2877870941,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.200000762939453
1646846402.5782726,3.1607883453,1.2877170563,2.1082531738,1.2877170563,1.2877170563,0.03963707759976387,0.08497165888547897,0.0,0.09376183152198792,0.0,64.9921646118164,24.299999237060547
1646846402.6118426,3.1609893799,1.2877715302,2.108193512,1.2877715302,1.2877715302,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.299999237060547
1646846402.6835105,3.1609037781,1.2876924133,2.108179245,1.2876924133,1.2876924133,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.299999237060547
1646846402.71248,3.1607520294,1.2876405334,2.1082791138,1.2876405334,1.2876405334,0.03963707759976387,0.08497165888547897,0.0,0.09376183152198792,0.0,64.9921646118164,24.299999237060547
1646846402.7785985,3.1610347748,1.2876612854,2.1082946777,1.2876612854,1.2876612854,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.200000762939453
1646846402.8117228,3.1608583832,1.2876197815,2.1083141327,1.2876197815,1.2876197815,1.0308763980865479,-0.03223063051700592,0.0,1.0313800573349,0.0,-1.7907847166061401,24.200000762939453
