time,.header.seq,.header.stamp.secs,secs,,.header.frame_id,.header.stamp.nsecs,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/03/09/18:22:45.802079,9548,1646846536,29.799753532,1646846565.79975,0.016409029812,0.0276032307721,-0.908867531366,0.41584686583,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0691459923983,-0.00626301392913,0.0418010801077,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0237854500115,0.382797839865,-0.126660631299,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:45.825334,9549,1646846536,29.825009537,1646846565.82501,0.0171401815051,0.0280916515331,-0.908564245952,0.41644697654,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0608972609043,-0.00475150067359,0.0389832854271,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0225680597126,0.405288570151,-0.122286913991,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:45.855210,9550,1646846536,29.854827206,1646846565.85483,0.0177688916647,0.0284895208208,-0.908271916833,0.41703086071,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0526553876698,-0.00130402576178,0.0387825295329,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0328385112807,0.431198021248,-0.12854752779,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:45.889574,9551,1646846536,29.888357311,1646846565.88836,0.0182685713771,0.0288052581277,-0.907986517972,0.417608667996,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0405968613923,-0.00215597171336,0.0364748984575,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0194883677736,0.446801974028,-0.120723953247,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:45.914930,9552,1646846536,29.91445783,1646846565.91446,0.0186354138567,0.0290595769865,-0.907714289342,0.418166272265,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0318068154156,-0.00437524821609,0.0403562262654,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0297851683572,0.46521938771,-0.123673288822,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:45.944736,9553,1646846536,29.9442178,1646846565.94422,0.0188511244878,0.0292572728974,-0.90744704799,0.418722464388,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0212242752314,-0.00108816195279,0.038672927767,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0361168258265,0.479585411847,-0.116723288298,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:45.976916,9554,1646846536,29.976337688,1646846565.97634,0.0189062046549,0.0293439417437,-0.907201558217,0.419245538172,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.00850786268711,-0.000197489745915,0.0371242873371,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0248969326168,0.4792428381,-0.120755528212,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.005067,9555,1646846536,30.4637992,1646846566.4638,0.0188112063058,0.0293413497853,-0.906980316939,0.419728398367,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0020587015897,0.000890359282494,0.0339296460152,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0271228945255,0.488654224053,-0.120832126737,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.033852,9556,1646846536,30.33465271,1646846566.33465,0.0185592531443,0.029261302178,-0.906791673651,0.420152580516,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.014729985036,0.00319187156856,0.0289377085865,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0234689694643,0.484584488869,-0.124297771454,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.063907,9557,1646846536,30.63515665,1646846566.63516,0.0181675628965,0.0290778298836,-0.906635892208,0.420518463836,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0287966430187,0.00143089704216,0.0243126563728,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0353391095996,0.48134600848,-0.116470688581,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
