rospy.get_time,,x1,x2,x3,closestValue,bestX,msg.x,msg.y,msg.z,msg.range,msg.velocity,msg.bearing,msg.intensity
1646846538.78968,0.066509246826172,3.1620464325,1.2877689362,2.1070093536,1.2877689362,1.2877689362,1.03138017654419,0,0,1.03138017654419,-0.268178969621658,0,25.1000003814697
1646846538.85619,0.066509246826172,3.1652954102,0.9932922363,1.2861515808,0.9932922363,0.9932922363,1.03138017654419,0,0,1.03138017654419,-0.402268469333649,0,57.5
1646846538.95717,0.167492151260376,3.1630178833,1.2885147095,2.1032389832,1.2885147095,1.2885147095,0.984499216079712,0,0,0.984499216079712,-0.402268469333649,0,61.5
1646846538.98993,0.200251817703247,3.1637831116,2.1049860382,1.2855821991,1.2855821991,1.2855821991,0.968529105186462,0.354536950588226,0,1.03138017654419,-0.134089484810829,20.1055107116699,62.2000007629395
1646846539.05678,0.267104148864746,3.1616028595,2.1059211731,3.4038404083,2.1059211731,1.2855821991,0.937618315219879,0,0,0.937618315219879,-0.536357939243317,0,66
1646846539.09028,0.300608158111572,3.1624536896,1.2866625977,2.0998862457,1.2866625977,1.2866625977,0.94243597984314,0.418998181819916,0,1.03138017654419,-0.134089484810829,23.969482421875,63.7000007629395
1646846539.15935,0.369675874710083,3.1641903687,1.286512146,2.1102635193,1.286512146,1.286512146,0.843444287776947,0.026370514184237,0,0.843856394290924,-0.402268469333649,1.79078471660614,23.5
1646846539.1896,0.399919033050537,3.1650256348,1.2849739075,2.0995814514,1.2849739075,1.2849739075,0.843444287776947,0.026370514184237,0,0.843856394290924,-0.402268469333649,1.79078471660614,23.5
1646846539.2584,0.468722105026245,3.1656819153,1.2875484467,3.40751091,1.2875484467,1.2875484467,0.843856453895569,0,0,0.843856453895569,-0.268178969621658,0,64.6999969482422
1646846539.28999,0.500313997268677,3.1678919983,3.409731369,1.2883551788,1.2883551788,1.2883551788,0.843856453895569,0,0,0.843856453895569,-0.134089484810829,0,63.9000015258789
1646846539.32372,0.534039974212647,3.1663771057,3.408433075,1.2897053528,1.2897053528,1.2897053528,0.039637077599764,0.084971658885479,0,0.093761831521988,0,64.9921646118164,39.7999992370605
1646846539.39588,0.606205701828003,3.1675197601,3.4085731506,1.2899076843,1.2899076843,1.2899076843,1.33599042892456,0.439508587121964,0,1.40642750263214,-0.402268469333649,18.2099571228027,39.2999992370605
1646846539.45765,0.667973041534424,3.1669477844,3.4081620026,1.2861489868,1.2861489868,1.2861489868,0.039637077599764,0.084971658885479,0,0.093761831521988,0,64.9921646118164,27.1000003814697
1646846539.4931,0.703422069549561,3.1665820313,1.2841567993,3.4098299408,1.2841567993,1.2841567993,0.982574462890625,-0.061531201004982,0,0.984499156475067,0.670447409152985,-3.58332180976868,24.6000003814697
1646846539.5577,0.768018960952759,3.1682966614,1.2873720551,3.407094574,1.2873720551,1.2873720551,0.843444287776947,0.026370514184237,0,0.843856394290924,0.402268469333649,1.79078471660614,63.9000015258789
1646846539.59349,0.803809881210327,3.1679620361,2.1093595123,1.2872994232,1.2872994232,1.2872994232,1.82835566997528,0,0,1.82835566997528,0.938626408576965,0,65.3000030517578
1646846539.63173,0.842049598693848,3.1659153748,2.097121048,3.407062149,2.097121048,1.2872994232,1.82835566997528,0,0,1.82835566997528,0.938626408576965,0,65.3000030517578
1646846539.69171,0.902029275894165,3.1639283752,1.2873733521,2.1044296265,1.2873733521,1.2873733521,1.82835566997528,0,0,1.82835566997528,1.34089481830597,0,62.7000007629395
1646846539.76357,0.97389030456543,3.1629115295,0.9329857635,1.2872812653,0.9329857635,0.9329857635,0.039637077599764,0.084971658885479,0,0.093761831521988,0,64.9921646118164,28.5
1646846539.79743,1.00775051116943,3.1637104797,1.2909647369,2.1060314178,1.2909647369,1.2909647369,1.96803677082062,0.061531201004982,0,1.96899843215942,1.34089481830597,1.79078471660614,28.5
1646846539.85931,1.06963419914246,3.165377121,0.9780551147,1.2873149872,0.9780551147,0.9780551147,1.03138017654419,0,0,1.03138017654419,0.670447409152985,0,47.7999992370606
1646846539.89127,1.10159182548523,3.1638933563,1.287413559,2.1021313477,1.287413559,1.287413559,1.17145049571991,-0.03662571683526,0,1.17202293872833,0.804536938667297,-1.79078471660614,27.6000003814697
1646846539.9573,1.16762256622314,3.1676183319,1.0187289429,1.2899971771,1.0187289429,1.0187289429,2.10964131355286,0,0,2.10964131355286,1.07271587848663,0,24.5
1646846539.99045,1.2007737159729,3.1645146179,1.2861982727,3.4089791107,1.2861982727,1.2861982727,2.15230584144592,-0.134782627224922,0,2.15652203559875,0.938626408576965,-3.58332204818726,26.3999996185303
1646846540.05638,1.26670622825623,3.168914032,3.4075874329,1.2848675537,1.2848675537,1.2848675537,1.26331007480621,-0.079111546278,0,1.265784740448,0.670447409152985,-3.58332180976868,45.9000015258789
